,0
0,Aberdeen_United Kingdom
1,Abidjan_Cote d'Ivoire
2,Abu Zaby_United Arab Emirates
3,Acajutla_El Salvador
4,Aden_Yemen
5,Agadir_Morocco
6,Ahus_Sweden
7,Ajman_United Arab Emirates
8,Akita-Funakawa Ko_Japan
9,Akureyri_Iceland
10,Al Ahmadi_Yemen
11,Al Aqabah_Jordan
12,Al Burayqah_Libya
13,Al Hamriyah LPG Terminal_United Arab Emirates
14,Al Iskandariyh (Alexandria)_Egypt
15,Al Jubayl_Saudi Arabia
16,Al Kuwayt_Kuwait
17,Al Ladhiqiyah_Syria
18,Al Mukalla_Yemen
19,Alborg_Denmark
20,Alesund_Norway
21,Algeciras_Spain
22,Alger_Algeria
23,Alicante_Spain
24,Almeria_Spain
25,Alotoa_Papua New Guinea
26,Altamira_Mexico
27,Alvika_Norway
28,Amamapare_Indonesia
29,Ambon_Indonesia
30,Ampenan_Indonesia
31,Amsterdam_Netherlands
32,Anchorage_U.S.A.
33,Ancona_Italy
34,Andres (Andres LGN Terminal)_Dominican Republic
35,Annaba_Algeria
36,Antalya_Turkey
37,Antisranana_Madagascar
38,Antofagasta_Chile
39,Antwerp_Belgium
40,Apia_Samoa
41,Apra Harbor_Guam
42,Aratu_Brazil
43,Argentia_Canada
44,Arhus_Denmark
45,Arrecife_Spain
46,Arzew El Djedid_Algeria
47,As Suways_Egypt
48,Ash Shariqah_United Arab Emirates
49,Ashdod_Israel
50,Auckland_New Zealand
51,Augusta_Italy
52,Aveiro_Portugal
53,Aviles_Spain
54,Avonmouth_United Kingdom
55,Bahai De La Habana_Cuba
56,Bahia De Las Minas_Panama
57,Bahia De Matarani_Peru
58,Bahia De Valparaiso_Chile
59,Bahia San Vicente_Chile
60,Baie Comeau_Canada
61,Balboa_Panama
62,Balikpapa_Indonesia
63,Baltimore_U.S.A.
64,Baltiysk_Russia
65,Bamdar-E Pars Terminal_Iran
66,Bamdar-E Shahid Reajie_Iran
67,Bandar Abbas_Iran
68,Bandar Khomeyni_Iran
69,Bandirma_Turkey
70,Banghazi_Libya
71,Bangkok_Thailand
72,Banjarmasin_Indonesia
73,Banjul_Gambia
74,Banten_Indonesia
75,Banzart_Tunisia
76,Bar_Montenegro
77,Barcelona_Spain
78,Bari_Italy
79,Barranquilla_Colombia
80,Basseterre_Saint Kitts and Nevis
81,Basuo_China
82,Bata_Equatorial Guinea
83,Batangas City_Philippines
84,Batumi_Georgia
85,Baubau_Indonesia
86,Bay City_U.S.A.
87,Bayonne_France
88,Bayrut_Lebanon
89,Bayuquan_China
90,Beaumont_U.S.A.
91,Bedyansk_Ukraine
92,Beihai_China
93,Beira_Mozambique
94,Bejaia_Algeria
95,Belawan_Indonesia
96,Belem_Brazil
97,Belfast_United Kingdom
98,Belize City_Belize
99,Bellingham_U.S.A.
100,Berbera_Somalia
101,Bergen_Norway
102,Big Creek_Belize
103,Bintulu Port_Malaysia
104,Bissau_Guinea-Bissau
105,Bitung_Indonesia
106,Bluff Harbor_New Zealand
107,Bohai Bay_China
108,Bontang LNG Terminal_Indonesia
109,Boosaaso_Somalia
110,Bordeaux_France
111,Boston_U.S.A.
112,Botany Bay_Australia
113,Botas_Turkey
