,community,degree
0,0,475.0
1,0,873.0
2,2,221.0
3,3,2.0
4,0,130.0
5,3,317.0
6,4,52.0
7,0,128.0
8,5,122.0
9,4,24.0
10,0,21.0
11,0,142.0
12,0,7.0
13,3,992.0
14,0,333.0
15,0,256.0
16,3,159.0
17,0,10.0
18,4,229.0
19,3,2511.0
20,3,324.0
21,3,248.0
22,3,93.0
23,6,24.0
24,7,597.0
25,4,35.0
26,8,57.0
27,8,103.0
28,8,5.0
29,4,94.0
30,5,99.0
31,3,265.0
32,7,1034.0
33,3,107.0
34,3,140.0
35,0,33.0
36,2,116.0
37,4,4281.0
38,6,92.0
39,5,211.0
40,4,53.0
41,4,567.0
42,3,225.0
43,3,78.0
44,0,4.0
45,0,250.0
46,3,1102.0
47,3,2.0
48,6,828.0
49,4,3.0
50,3,13.0
51,4,5.0
52,4,95.0
53,7,2.0
54,2,45.0
55,2,252.0
56,2,221.0
57,2,1583.0
58,8,137.0
59,7,418.0
60,4,189.0
61,0,46.0
62,0,119.0
63,0,25.0
64,3,29.0
65,3,122.0
66,8,1723.0
67,8,123.0
68,3,132.0
69,8,4.0
70,3,120.0
71,3,63.0
72,3,2255.0
73,3,38.0
74,7,382.0
75,7,28.0
76,5,6.0
77,0,58.0
78,8,176.0
79,7,2.0
80,3,99.0
81,8,37.0
82,3,2.0
83,3,900.0
84,5,1601.0
85,7,2.0
86,8,34.0
87,0,237.0
88,3,69.0
89,8,103.0
90,9,225.0
91,4,270.0
92,7,67.0
93,0,93.0
94,4,204.0
95,7,37.0
96,8,104.0
97,3,62.0
98,8,156.0
99,6,51.0
100,5,344.0
101,8,29.0
102,4,51.0
103,7,184.0
104,6,1116.0
105,3,8.0
106,3,5.0
107,9,2.0
108,4,7.0
109,4,2445.0
110,4,113.0
111,7,205.0
112,6,1345.0
113,5,4.0
114,0,3.0
115,4,29.0
116,0,3.0
117,8,224.0
118,2,620.0
119,9,699.0
120,6,36.0
121,5,2.0
122,5,31.0
123,0,2.0
124,3,560.0
125,3,210.0
126,0,27.0
127,3,74.0
128,8,40.0
129,3,151.0
130,8,254.0
131,2,2.0
132,9,6.0
133,7,4.0
134,0,750.0
135,4,2.0
136,7,2429.0
137,3,180.0
138,3,1227.0
139,7,81.0
140,3,7.0
141,7,21.0
142,8,499.0
143,7,5.0
144,0,8.0
145,5,70.0
146,5,95.0
147,5,4.0
148,7,1516.0
149,7,154.0
150,8,393.0
151,7,116.0
152,8,2582.0
153,5,192.0
154,8,1021.0
155,8,31.0
156,7,4.0
157,1,13.0
158,3,204.0
159,7,48.0
160,0,3392.0
161,5,10.0
162,3,198.0
163,3,484.0
164,2,175.0
165,4,521.0
166,2,186.0
167,7,4.0
168,0,539.0
169,3,31.0
170,4,42.0
171,8,868.0
172,8,187.0
173,0,6.0
174,3,523.0
175,5,2211.0
176,3,644.0
177,0,509.0
178,5,102.0
179,0,387.0
180,6,49.0
181,8,674.0
182,3,2.0
183,7,146.0
184,4,8.0
185,3,916.0
186,8,17.0
187,3,2.0
188,8,25.0
189,3,34.0
190,0,465.0
191,8,61.0
192,0,312.0
193,4,97.0
194,0,46.0
195,4,1033.0
196,8,1.0
197,4,504.0
198,0,834.0
199,3,35.0
200,0,43.0
201,4,12.0
202,3,167.0
203,3,4.0
204,0,39.0
205,3,5.0
206,4,9.0
207,8,3.0
208,2,254.0
209,3,20.0
210,4,14.0
211,4,64.0
212,2,72.0
213,6,20.0
214,3,27.0
215,5,22.0
216,4,2.0
217,3,3.0
218,8,60.0
219,8,2.0
220,4,1164.0
221,4,4.0
222,4,76.0
223,4,46.0
224,7,154.0
225,3,6.0
226,4,10.0
227,4,194.0
228,4,4.0
229,4,168.0
230,7,1032.0
231,7,116.0
232,3,159.0
233,6,575.0
234,0,30.0
235,5,163.0
236,5,52.0
237,4,80.0
238,5,244.0
239,5,1064.0
240,3,13.0
241,7,2.0
242,5,180.0
243,4,13.0
244,4,176.0
245,4,530.0
246,4,1070.0
247,3,1020.0
248,8,423.0
249,3,1918.0
250,7,17.0
251,7,312.0
252,3,85.0
253,4,136.0
254,4,164.0
255,3,1163.0
256,6,37.0
257,2,2.0
258,3,36.0
259,8,24.0
260,4,504.0
261,5,174.0
262,4,344.0
263,4,289.0
264,8,277.0
265,9,360.0
266,8,112.0
267,8,6.0
268,5,686.0
269,2,1143.0
270,2,34.0
271,7,58.0
272,0,4.0
273,5,559.0
274,5,161.0
275,8,3500.0
276,3,1194.0
277,8,365.0
278,5,19.0
279,5,1359.0
280,5,36.0
281,4,70.0
282,0,75.0
283,7,687.0
284,4,186.0
285,5,34.0
286,4,3860.0
287,4,2.0
288,7,2.0
289,5,588.0
290,5,28.0
291,4,4.0
292,3,121.0
293,4,535.0
294,4,630.0
295,5,2.0
296,5,6.0
297,5,598.0
298,5,99.0
299,5,93.0
300,5,83.0
301,8,10879.0
302,6,139.0
303,5,383.0
304,4,32.0
305,5,10.0
306,7,910.0
307,3,97.0
308,5,38.0
309,4,68.0
310,3,227.0
311,5,136.0
312,9,61.0
313,4,722.0
314,8,897.0
315,5,6.0
316,4,2.0
317,2,253.0
318,3,47.0
319,5,103.0
320,3,546.0
321,3,2354.0
322,9,1050.0
323,9,11.0
324,5,249.0
325,4,19.0
326,3,692.0
327,0,154.0
328,7,393.0
329,8,2528.0
330,4,2.0
331,8,87.0
332,5,791.0
333,0,1645.0
334,5,509.0
335,8,707.0
336,3,555.0
337,0,88.0
338,4,89.0
339,4,41.0
340,5,31.0
341,8,78.0
342,8,597.0
343,5,191.0
344,6,2.0
345,0,297.0
346,8,7756.0
347,3,10.0
348,0,416.0
349,4,4.0
350,5,61.0
351,3,2.0
