,community,degree
0,1,16564209.330064276
1,4,55329072.15412212
2,3,5390149.0723920055
3,1,14240.66704244693
4,8,4014991.7533308016
5,1,3990168.72284527
6,0,263578.2058181108
7,4,715092.6931427774
8,6,1326824.6292438067
9,0,166355.71153240968
10,8,289328.88571761874
11,8,10479748.566874612
12,7,162000.1129340537
13,8,28682131.08467314
14,4,21462091.362209458
15,4,5787302.642144331
16,8,3374509.250009053
17,4,189153.91556644303
18,0,1862196.8559741697
19,0,119323190.35888536
20,8,4194442.41857069
21,1,2604525.645905895
22,8,959376.2090332805
23,5,207844.86260933374
24,2,25308227.754282773
25,0,231643.78394443018
26,7,366980.88611307094
27,7,967547.6215216962
28,7,19644.121147733127
29,0,827166.2097661688
30,6,1871883.765184064
31,8,4839498.892235442
32,2,53785525.971455425
33,8,1331427.0589248263
34,8,2309828.277813814
35,4,594632.0874595852
36,3,6972750.227456662
37,0,193136545.41309413
38,5,1221575.0413670451
39,6,4135644.3617513636
40,0,399946.82021013927
41,0,12340479.508731877
42,1,2319185.4335498936
43,8,1207383.32506491
44,8,12390.610390622793
45,4,5540118.986092505
46,8,34559466.74231777
47,8,6046.729879454777
48,5,22655064.544298742
49,0,67359.96904215429
50,8,80095.59198098483
51,0,40585.753529501206
52,0,1167370.0284033585
53,2,25182.39336515972
54,3,881817.8546914025
55,3,17624651.577254787
56,3,10271980.33577392
57,3,84250853.8016342
58,7,1915907.8866813718
59,2,24988080.987523813
60,0,2996489.151283027
61,7,439598.0330494456
62,7,4519071.488860661
63,7,338880.8785894076
64,8,231539.4307319815
65,8,1599130.7943664729
66,7,24700079.217604145
67,7,819706.327070704
68,1,2616370.254729942
69,6,83868.74278446904
70,8,1220747.728902056
71,8,988099.4244338432
72,8,96494983.2253496
73,8,378268.90276962507
74,2,5224682.127409755
75,2,276455.84931347537
76,6,51208.08123310449
77,1,1153336.2477826343
78,7,4349887.2838574285
79,2,97263.63153352716
80,8,1933100.1379943576
81,7,331715.3647175518
82,8,17467.793424786705
83,8,47050448.76342723
84,6,36200999.15715725
85,2,55754.2491046419
86,7,592996.4716521511
87,4,6093318.164253226
88,8,816803.7085523738
89,7,1910654.9287421764
90,1,4542098.594265357
91,0,2409105.3931792155
92,2,473102.7715111861
93,4,1990856.6728664902
94,0,1659680.4555920504
95,2,1380558.8267274569
96,7,1795260.3057218324
97,0,953586.5337425094
98,7,3055053.9913602984
99,5,1486947.8328866763
100,6,5414166.360928546
101,7,149718.60636488473
102,0,476832.5588483636
103,2,12110875.814289395
104,5,49958396.63828292
105,8,78253.20883199024
106,8,76969.82612277818
107,1,20989.930724908514
108,0,43610.989998458645
109,0,100640958.685912
110,0,960036.3206021057
111,2,2026194.1782369497
112,5,59145388.761707425
113,7,33216.0
114,4,25390.15875722183
115,0,351103.8290141585
116,1,76257.74730783464
117,7,6503890.628894471
118,3,32300867.019449573
119,1,38568652.182422705
120,5,235197.88286077153
121,6,10321.078093999415
122,6,240699.9171535657
123,6,60969.00660142678
124,8,36989598.14015497
125,8,4413810.098707104
126,7,303737.7848560888
127,8,717850.8453767563
128,7,1653727.2870962727
129,8,4342712.356875894
130,7,2550105.510945123
131,2,94360.42572681894
132,1,48611.758499144475
133,2,48703.03468534512
134,1,38635045.5885872
135,0,8918.688230195514
136,2,95359513.63222553
137,8,1683141.2549675512
138,8,20264674.351416495
139,2,858351.9190629392
140,8,80186.75327213538
141,2,263985.2088431889
142,7,8673969.463969612
143,2,41268.18595146814
144,7,88740.23395651908
145,6,1062840.5038056776
146,6,1590093.6343486276
147,6,62777.30528422515
148,2,103081737.93288383
149,2,1598429.3842669115
150,7,19426666.842312828
151,2,3162500.2402610937
152,7,51662276.73989351
153,6,3351962.304762456
154,7,22086881.85296962
155,7,243916.6848514574
156,2,16623.057748650328
157,10,82061.53880275792
158,8,7657591.704644505
159,2,444036.5065737746
160,7,211489118.74272272
161,6,113435.62908454335
162,1,5802671.96729483
163,8,15204220.728185263
164,3,3849127.8432728616
165,0,8252203.2233319525
166,3,13537261.146920988
167,8,60364.29042563501
168,1,22372556.29460612
169,8,202080.43780855456
170,0,358576.81281741906
171,7,13547021.027823431
172,7,2390697.8819563184
173,7,45722.518693850216
174,1,17814200.142837957
175,6,65867475.84209226
176,8,38186301.19213709
177,4,37837966.39199064
178,6,1011899.168841602
179,4,12885591.377681429
180,5,1096496.0313490303
181,7,14022835.944802647
182,6,23758.464174670906
183,2,1934763.0620148105
184,0,175970.25406868957
