,0
0,Abbot Point_Australia
1,Abenra_Denmark
2,Aberdeen_U.S.A.
3,Aberdeen_United Kingdom
4,Abidjan_Cote d'Ivoire
5,Abu Zaby_United Arab Emirates
6,Acajutla_El Salvador
7,Acapulco_Mexico
8,Ad Dakhla_Western Sahara
9,Aden_Yemen
10,Agadir_Morocco
11,Ahus_Sweden
12,Aiyion_Greece
13,Ajman_United Arab Emirates
14,Akita-Funakawa Ko_Japan
15,Ako_Japan
16,Aktau Port_Kazakhstan
17,Akureyri_Iceland
18,Al Ahmadi_Yemen
19,Al Aqabah_Jordan
20,Al Basrah_Iraq
21,Al Burayqah_Libya
22,Al Hamriyah LPG Terminal_United Arab Emirates
23,Al Iskandariyh (Alexandria)_Egypt
24,Al Jubayl_Saudi Arabia
25,Al Kuwayt_Kuwait
26,Al Ladhiqiyah_Syria
27,Al Mukalla_Yemen
28,Albany_Australia
29,Alborg_Denmark
30,Alesund_Norway
31,Algeciras_Spain
32,Alger_Algeria
33,Aliaga_Turkey
34,Alicante_Spain
35,Almeria_Spain
36,Alofi_Niue
37,Alotoa_Papua New Guinea
38,Altamira_Mexico
39,Alvika_Norway
40,Amagasaki_Japan
41,Amamapare_Indonesia
42,Ambon_Indonesia
43,Amirabad Port_Iran
44,Ampenan_Indonesia
45,Amsterdam_Netherlands
46,Amuay (Bahia De Amuay)_Venezuela
47,Anacortes_Canada
48,Anchorage_U.S.A.
49,Ancona_Italy
50,Andoany_Madagascar
51,Andres (Andres LGN Terminal)_Dominican Republic
52,Anguilla_Anguilla
53,Annaba_Algeria
54,Antalya_Turkey
55,Antisranana_Madagascar
56,Antofagasta_Chile
57,Antwerp_Belgium
58,Anzali Port_Iran
59,Aomori Ko_Japan
60,Apia_Samoa
61,Apra Harbor_Guam
62,Aratu_Brazil
63,Arawak_Barbados
64,Ardalstangen_Norway
65,Ardel_Norway
66,Argentia_Canada
67,Arhus_Denmark
68,Arkhangels'k_Russia
69,Arrecife_Spain
70,Arzew El Djedid_Algeria
71,As Suways_Egypt
72,Ash Shariqah_United Arab Emirates
73,Ashdod_Israel
74,Ashqelon_Israel
75,Aspropirgos_Greece
76,Astrakhan Port_Russia
77,Atapupu_Indonesia
78,Atuona_French Polynesia
79,Auckland_New Zealand
80,Augusta_Italy
81,Avatiu_Cook Islands
82,Aveiro_Portugal
83,Aviles_Spain
84,Avonmouth_United Kingdom
85,Az Zawiya_Libya
86,Bahai De La Habana_Cuba
87,Bahia De Las Minas_Panama
88,Bahia De Matarani_Peru
89,Bahia De Valparaiso_Chile
90,Bahia Quintero (Ventanas)_Chile
91,Bahia San Nicolas_Peru
92,Bahia San Vicente_Chile
93,Baie Comeau_Canada
94,Baie De Kouaoua_New Caledonia
95,Baie Du Marigot_Saint Martin
96,Baie Taoihae_French Polynesia
97,Baie Ugue_New Caledonia
98,Bajo Grande_Venezuela
99,Bakar_Croatia
100,Baku Port_Azerbaijan
101,Balboa_Panama
102,Balikpapa_Indonesia
103,Baltimore_U.S.A.
104,Baltiysk_Russia
105,Bamdar-E Pars Terminal_Iran
106,Bamdar-E Shahid Reajie_Iran
107,Bandar Abbas_Iran
108,Bandar Khomeyni_Iran
109,Bandirma_Turkey
110,Banghazi_Libya
111,Bangkok_Thailand
112,Banjarmasin_Indonesia
113,Banjul_Gambia
114,Banten_Indonesia
115,Banzart_Tunisia
116,Bar_Montenegro
117,Barbor's Point_U.S.A.
118,Barcelona_Spain
119,Bari_Italy
120,Barranquilla_Colombia
121,Barry_United Kingdom
122,Basseterre_Saint Kitts and Nevis
123,Basuo_China
124,Bata_Equatorial Guinea
