id,port,country
0,Abbot Point,Australia
1,Abenra,Denmark
2,Aberdeen,U.S.A.
3,Aberdeen,United Kingdom
4,Abidjan,Cote d'Ivoire
5,Abu Zaby,United Arab Emirates
6,Acajutla,El Salvador
7,Acapulco,Mexico
8,Ad Dakhla,Western Sahara
9,Aden,Yemen
10,Agadir,Morocco
11,Ahus,Sweden
12,Aiyion,Greece
13,Ajman,United Arab Emirates
14,Akita-Funakawa Ko,Japan
15,Ako,Japan
16,Aktau Port,Kazakhstan
17,Akureyri,Iceland
18,Al Ahmadi,Yemen
19,Al Aqabah,Jordan
20,Al Basrah,Iraq
21,Al Burayqah,Libya
22,Al Hamriyah LPG Terminal,United Arab Emirates
23,Al Iskandariyh (Alexandria),Egypt
24,Al Jubayl,Saudi Arabia
25,Al Kuwayt,Kuwait
26,Al Ladhiqiyah,Syria
27,Al Mukalla,Yemen
28,Albany,Australia
29,Alborg,Denmark
30,Alesund,Norway
31,Algeciras,Spain
32,Alger,Algeria
33,Aliaga,Turkey
34,Alicante,Spain
35,Almeria,Spain
37,Alotoa,Papua New Guinea
38,Altamira,Mexico
39,Alvika,Norway
40,Amagasaki,Japan
41,Amamapare,Indonesia
42,Ambon,Indonesia
43,Amirabad Port,Iran
44,Ampenan,Indonesia
45,Amsterdam,Netherlands
46,Amuay (Bahia De Amuay),Venezuela
47,Anacortes,Canada
48,Anchorage,U.S.A.
49,Ancona,Italy
50,Andoany,Madagascar
51,Andres (Andres LGN Terminal),Dominican Republic
52,Anguilla,Anguilla
53,Annaba,Algeria
54,Antalya,Turkey
55,Antisranana,Madagascar
56,Antofagasta,Chile
57,Antwerp,Belgium
58,Anzali Port,Iran
59,Aomori Ko,Japan
60,Apia,Samoa
61,Apra Harbor,Guam
62,Aratu,Brazil
63,Arawak,Barbados
64,Ardalstangen,Norway
65,Ardel,Norway
66,Argentia,Canada
67,Arhus,Denmark
68,Arkhangels'k,Russia
69,Arrecife,Spain
70,Arzew El Djedid,Algeria
71,As Suways,Egypt
72,Ash Shariqah,United Arab Emirates
73,Ashdod,Israel
74,Ashqelon,Israel
75,Aspropirgos,Greece
76,Astrakhan Port,Russia
77,Atapupu,Indonesia
79,Auckland,New Zealand
80,Augusta,Italy
81,Avatiu,Cook Islands
82,Aveiro,Portugal
83,Aviles,Spain
84,Avonmouth,United Kingdom
85,Az Zawiya,Libya
86,Bahai De La Habana,Cuba
87,Bahia De Las Minas,Panama
88,Bahia De Matarani,Peru
89,Bahia De Valparaiso,Chile
90,Bahia Quintero (Ventanas),Chile
91,Bahia San Nicolas,Peru
92,Bahia San Vicente,Chile
93,Baie Comeau,Canada
94,Baie De Kouaoua,New Caledonia
95,Baie Du Marigot,Saint Martin
97,Baie Ugue,New Caledonia
98,Bajo Grande,Venezuela
99,Bakar,Croatia
100,Baku Port,Azerbaijan
101,Balboa,Panama
102,Balikpapa,Indonesia
103,Baltimore,U.S.A.
104,Baltiysk,Russia
105,Bamdar-E Pars Terminal,Iran
106,Bamdar-E Shahid Reajie,Iran
107,Bandar Abbas,Iran
108,Bandar Khomeyni,Iran
109,Bandirma,Turkey
110,Banghazi,Libya
111,Bangkok,Thailand
112,Banjarmasin,Indonesia
113,Banjul,Gambia
114,Banten,Indonesia
115,Banzart,Tunisia
116,Bar,Montenegro
117,Barbor's Point,U.S.A.
118,Barcelona,Spain
119,Bari,Italy
120,Barranquilla,Colombia
121,Barry,United Kingdom
122,Basseterre,Saint Kitts and Nevis
123,Basuo,China
124,Bata,Equatorial Guinea
125,Batangas City,Philippines
126,Baton Rouge,U.S.A.
127,Batumi,Georgia
